City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
153,Saint-Joseph,RE,70.21,-21.3667,55.6167,few clouds,"""Plantation Bed and Breakfast"
156,Bambanglipuro,ID,63.61,-7.95,110.2833,scattered clouds,Puri Brata
157,Ponta Do Sol,PT,71.71,32.6667,-17.1,scattered clouds,Hotel do Campo
159,Lenine,UA,70.88,45.2986,35.7771,few clouds,Vostok
160,Wajir,KE,88.38,1.7471,40.0573,overcast clouds,Al-bustan Hotel And Restaurant.
161,Hamilton,US,60.58,39.1834,-84.5333,overcast clouds,Six Acres Bed & Breakfast
162,Oktyabrskoye,RU,66.34,43.0645,44.7417,broken clouds,Prolesok Mini-hotel
168,Kandi,BJ,93.78,11.1342,2.9386,overcast clouds,Baric Motel De Kandi
169,Talladega,US,67.96,33.4359,-86.1058,few clouds,"Holiday Inn Express & Suites Talladega, an IHG Hotel"
172,Nacala,MZ,74.1,-14.5428,40.6728,clear sky,Nacala Plaza Business Design Hotel
175,Natal,BR,88.45,-5.795,-35.2094,scattered clouds,Villa Park Hotel | Natal
176,Bathsheba,BB,88.41,13.2167,-59.5167,broken clouds,Atlantis Hotel
179,Rabo De Peixe,PT,67.51,37.8,-25.5833,few clouds,Quinta das Giestas
180,Vao,NC,70.23,-22.6667,167.4833,overcast clouds,Hotel Kou-Bugny
182,Hithadhoo,MV,83.14,-0.6,73.0833,scattered clouds,Scoop Guest House
184,Champerico,GT,91.76,14.3,-91.9167,broken clouds,"Hotel y restaurante ""El Diamante"""
186,Umm Lajj,SA,86.07,25.0213,37.2685,few clouds,Moon light Furnished Units
187,Namibe,AO,75.22,-15.1961,12.1522,few clouds,Hotel Chik Chik Namibe
189,Ingham,US,66.18,42.6,-84.3833,clear sky,Sunset Place
190,Bambous Virieux,MU,74.21,-20.3428,57.7575,clear sky,Casa Tia Villa
191,Ribeira Grande,PT,68.4,38.5167,-28.7,few clouds,Quinta da Meia Eira
193,Kahului,US,72.84,20.8947,-156.47,clear sky,Maui Seaside Hotel
194,Portland,US,67.86,45.5234,-122.6762,scattered clouds,Embassy Suites by Hilton Portland Downtown
197,Lagoa,PT,63.5,39.05,-27.9833,scattered clouds,Casa Das Faias
199,Bhanvad,IN,83.82,21.9264,69.7736,overcast clouds,Mahalaxmi farshan
200,Turbat,PK,96.73,26.0023,63.044,clear sky,Mubashar Quarters
203,Cap Malheureux,MU,75.69,-19.9842,57.6142,clear sky,Pereybere Hotel & Spa
204,Pantai Remis,MY,78.82,4.4557,100.6288,overcast clouds,Leisure Homestay
206,Tsevie,TG,85.08,6.4261,1.2133,light rain,Hotel Melissa
