City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Narsaq,GL,60.9167,-46.05,46.62,71,70,4.59,broken clouds
222,Sechelt,CA,49.4664,-123.7694,63.07,69,100,2.82,overcast clouds
223,Perdoes,BR,-21.0908,-45.0914,82.63,41,97,4.9,overcast clouds
224,Ibra,OM,22.6906,58.5334,94.51,17,2,10.87,clear sky
225,Belaya Gora,RU,68.5333,146.4167,51.75,53,2,9.44,clear sky
226,Pregradnaya,RU,43.9508,41.1994,60.26,79,61,2.24,broken clouds
227,Tiquisate,GT,14.2833,-91.3667,91.02,64,95,2.17,overcast clouds
228,Capao Da Canoa,BR,-29.7456,-50.0097,60.04,49,2,10.56,clear sky
229,Buraydah,SA,26.326,43.975,100.74,8,1,5.5,clear sky
230,Alyangula,AU,-13.8483,136.4192,69.67,94,88,9.24,overcast clouds
231,Grindavik,IS,63.8424,-22.4338,47.55,93,75,15.32,broken clouds
232,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,83.77,78,61,3.98,broken clouds
233,San Cristobal,VE,7.7669,-72.225,77.18,48,49,6.6,scattered clouds
234,Susanville,US,40.4163,-120.653,72.09,30,1,1.01,clear sky
235,Vuktyl,RU,63.8567,57.3094,44.11,48,86,10.49,overcast clouds
236,Arkadelphia,US,34.1209,-93.0538,62.89,52,7,7.14,clear sky
237,Dosso,NE,13.049,3.1937,106.11,15,48,10.31,scattered clouds
238,Chicama,PE,-7.8447,-79.1469,66.74,67,75,7.94,broken clouds
239,Fernandopolis,BR,-20.2839,-50.2464,88.09,31,100,7.85,overcast clouds
240,Phon Thong,TH,16.3016,103.9768,84.87,67,81,7.09,broken clouds
241,Port Hardy,CA,50.6996,-127.4199,51.98,93,90,12.66,light rain
242,Carnarvon,AU,-24.8667,113.6333,60.87,88,0,9.22,clear sky
243,Victor Harbor,AU,-35.5667,138.6167,53.91,48,92,6.85,overcast clouds
244,Wiarton,CA,44.7407,-81.1332,64.4,51,20,4.61,few clouds
245,Beloha,MG,-25.1667,45.05,67.55,73,9,4.81,clear sky
246,Yaan,NG,7.3833,8.5667,96.96,37,38,3.27,scattered clouds
247,Lazaro Cardenas,MX,17.9583,-102.2,86.99,54,68,3.24,broken clouds
248,Jambi,ID,-1.6,103.6167,78.01,91,99,2.53,overcast clouds
